iter	RMSE
0	0.8341898641
1	0.7068958414
2	0.6183143973
3	0.5499135425
4	0.4947987562
5	0.4586002246
6	0.4331850954
7	0.4122818293
8	0.3971138211
9	0.3809191528
10	0.3683998938
11	0.3608620816
12	0.3532542843
13	0.3443622359
14	0.3389250882
15	0.3278670771
16	0.3245670692
17	0.3118631092
18	0.3103171581
19	0.3035364405
20	0.294732977
21	0.2819930441
22	0.273133458
23	0.2668081371
24	0.2616799943
25	0.257832487
26	0.2513933463
27	0.2478090884
28	0.2428448732
29	0.2369203748
30	0.2336139296
31	0.230745839
